token,frequency
günündeki,4
edinilen,4
kazandırmada,4
bedelini,4
kullanmaya,4
inde,4
lar,4
kanundan,4
var,4
kullanarak,4
mallarıyla,4
edinilmesi,4
oranı,4
ölümüyle,4
sonucu,4
düşme,4
cinsel,4
gecikme,4
arak,4
olmaları,4
nerede,4
bakılmaksızın,4
edinene,4
bentte,4
edinmeye,4
kararda,4
mi,4
bulundurulur,4
miktarını,4
güvencenin,4
atanmasına,4
çocuğu,4
kıldığı,4
belirleme,4
belirtilmedikçe,4
öncelikle,4
edimler,4
arsa,4
aksini,4
zamanlarda,4
sıra,4
yükümlüsü,4
oluşturduğu,4
takibi,4
mall,4
yönetir,4
il,4
ayrılan,4
getirilecek,4
uz,4
kiraya,4
daireleri,4
işlerin,4
ur,4
makamlar,4
bağlayıcı,4
dinler,4
niteliğine,4
istek,4
engelliliği,4
getirmek,4
kayyımı,4
terekede,4
alımı,4
satımı,4
özgürlüğün,4
kurumdan,4
gecikmesinde,4
edebileceği,4
yetkilerine,4
vasiyi,4
kurtulur,4
yürütülmesi,4
yapmaya,4
kayyumun,4
süreli,4
acele,4
beyanı,4
aylık,4
kanunen,4
zararı,4
belirtilir,4
derece,4
olmuş,4
bulunmadan,4
yazımı,4
çıkarılanın,4
yüklemeler,4
açılmasından,4
tenkisi,4
artmıraşçıya,4
sıfatını,4
almış,4
yazar,4
tanıklar,4
yazılmış,4
çıkarsa,4
edimleri,4
görevlisinin,4
ilgililere,4
açılma,4
rağmen,4
değerinde,4
çeyiz,4
tarihinde,4
topluluk,4
kasten,4
cenin,4
gaibe,4
yan,4
defterinin,4
ele,4
bırakanın,4
haklarından,4
reddeden,4
tutulmasını,4
mahke,4
taşınmazlardan,4
alacakların,4
herkese,4
eşyanın,4
sözleşmelerin,4
alacaklarda,4
dönemsel,4
birleştirilen,4
devredilebilir,4
onarım,4
kurulmuşsa,4
çıkarılması,4
sahipleri,4
bölümler,4
arazisi,4
sürüklenen,4
davasız,4
yerler,4
sınırlıklar,4
yapının,4
kazı,4
suyu,4
sulama,4
yeraltı,4
hayvanlar,4
nitelik,4
terkinini,4
parsellere,4
parsel,4
edilmemiş,4
güvencesini,4
kurtarılmasını,4
planı,4
kararlaştırılmadıkça,4
süresinden,4
yükleri,4
rehne,4
borçlusu,4
aynî,4
bedelinden,4
borcundan,4
idaresince,4
yüklenicilerin,4
defileri,4
kuponları,4
teslime,4
rehnedenin,4
gasp,4
bölgede,4
giriş,4
hukukuna,3
olsaydı,3
kullanırken,3
getirirken,3
dürüstlük,3
düzeni,3
gereklerine,3
özeni,3
tüm,3
ispatla,3
içeriğinin,3
olmadığının,3
kanunlarda,3
kısıtlıların,3
bulun,3
derecesi,3
getiren,3
ermesiyle,3
yerdir,3
edinmemiş,3
veba,3
biyolojik,3
getirmesi,3
hâkimden,3
arına,3
vekaletsiz,3
ad,3
giderilmesini,3
ilanda,3
nüfusa,3
değiştirme,3
iddiasını,3
sicilindeki,3
karinesi,3
cesedi,3
kaybolan,3
zamandan,3
mark,3
bilgisi,3
vermeleri,3
ilanla,3
çağırır,3
gaipliğe,3
sicilin,3
tutulmasına,3
içişleri,3
zararlar,3
bulunarak,3
iznin,3
verilebilmesi,3
izne,3
ekli,3
babalığa,3
işlenir,3
değişikliklerin,3
geçirilmesi,3
toplulukları,3
kendileri,3
özgü,3
haklara,3
aracılığıyla,3
organlar,3
belgesinde,3
kuruluşuna,3
özgülendiği,3
tanımı,3
almaksızın,3
kaynakları,3
örgütü,3
inceleme,3
bulunursa,3
izleyen,3
organlarını,3
olmaya,3
bağlanır,3
kalmaya,3
dernekten,3
iddiasıyla,3
eşitliği,3
üyelere,3
nci,3
ibaresinden,3
tanıyan,3
yönetimine,3
edemez,3
z,3
onursal,3
amacına,3
kaçınmakla,3
oluşumu,3
toplantının,3
konular,3
değişikliği,3
ikisinin,3
toplantısının,3
onda,3
verilmemiş,3
şu,3
açılamaz,3
hükümsüz,3
yedek,3
denetleme,3
hakiminden,3
feshine,3
gelirse,3
alıkoyma,3
amaçlarını,3
amaçları,3
bulunabilirler,3
alınmak,3
koşul,3
kümler,3
maddede,3
yılı,3
kanunlarla,3
geliri,3
milli,3
vakfeden,3
açan,3
engelleyen,3
cumhurbaşkanı,3
özgülenilen,3
sınırlıdır,3
vakfedenin,3
im,3
çalıştırılanlara,3
işçilere,3
yapacakları,3
bölümünün,3
vakıfların,3
kuruluşlarınca,3
denetimi,3
yönetimini,3
duruşma,3
gelmiş,3
yükümlülüklerin,3
olanları,3
çevrilmesini,3
yıla,3
durumunu,3
geldiği,3
bulunmazsa,3
bulunmalarına,3
nişanlılık,3
istemeye,3
onlar,3
uğrayan,3
verenler,3
zenginleşme,3
dinledikten,3
yasaktır,3
getirmiş,3
açacağı,3
bekleme,3
ermişse,3
anlaşılması,3
evliliği,3
kaldırır,3
içlerinden,3
memurluğuna,3
görevlendireceği,3
belgeyi,3
inceler,3
tamamlar,3
evleneceklerden,3
evleneceklere,3
memurunun,3
basit,3
ayın,3
tören,3
yürürlükten,3
evlenen,3
çekilmez,3
başkası,3
kalktığı,3
kalırsa,3
kazanmış,3
sağlanan,3
doğumunun,3
suç,3
yaşaması,3
birliğinden,3
konuta,3
kalmış,3
uyarıda,3
açmak,3
eklenmiştir,3
geçmesine,3
kendilerinden,3
sarsılmış,3
korunmaya,3
ha,3
dinleyerek,3
davalarında,3
etmez,3
düzenlenirken,3
süresinde,3
menfaatleri,3
naf,3
yoksulluğa,3
yükümlüsünün,3
azaltılmasına,3
rejime,3
mirasçılarından,3
vıdı,3
düzenler,3
kararında,3
getirilmemesi,3
yıllarda,3
ölmesi,3
muhakemeleri,3
kanununa,3
davasının,3
kanıtları,3
yardımcı,3
güçleri,3
bulunmaksızın,3
yetkiyi,3
yetersiz,3
tarafı,3
bildirimle,3
eşleri,3
eşiniz,3
görmesi,3
işinde,3
dikkate,3
maya,3
çocukları,3
ilişkileri,3
değerleriyle,3
irinin,3
kararını,3
asıldır,3
ortaklığını,3
ödemeye,3
mahkemeler,3
aşını,3
düşürecek,3
benzerlerinin,3
sayılanlar,3
kullanımına,3
yarayan,3
edilemeyen,3
ın,3
iyileştirilmesine,3
anlaşmayla,3
oranını,3
ayrılır,3
ömür,3
azaltmak,3
kastıyla,3
mallardan,3
anlaşılamayan,3
tutularak,3
değerlendirme,3
değere,3
hayata,3
ödem,3
ayrılmış,3
alacağına,3
iz,3
yürütülür,3
eşine,3
mülkiye,3
mirasçılarının,3
tanınabilir,3
bölümlerde,3
kazandırmaları,3
mirastaki,3
davasına,3
edinilme,3
aileye,3
almaya,3
paylaşım,3
indirilir,3
or,3
eşyasını,3
bulundurarak,3
süresini,3
kullandığı,3
vekil,3
yetkisine,3
bulur,3
mala,3
iyileştirilmesi,3
kanunu,3
aleyhine,3
sur,3
inandırıcı,3
doğumu,3
sel,3
balık,3
senette,3
beyanla,3
gereklidir,3
geçersiz,3
beyanda,3
tanımayı,3
hazine,3
düş,3
hazineye,3
ba,3
girmesi,3
mümkün,3
olmadığına,3
edinilebilir,3
anın,3
tutanağa,3
dahi,3
almadan,3
bilinmiyorsa,3
küçüğe,3
yerleştirilir,3
aracılık,3
kurumun,3
cümle,3
zihinsel,3
edinmede,3
taşır,3
değil,3
hısımlarına,3
bırakılmış,3
nafakaya,3
bulundukları,3
altıncı,3
alınamaz,3
kısıtlanan,3
tarafa,3
onlardan,3
geçersizdir,3
katılmasına,3
sına,3
atanabilir,3
kule,3
sermaye,3
zorunluluk,3
serbest,3
menfaatlerine,3
p,3
bırakılabilir,3
tasarrufunda,3
evde,3
ye,3
aldıkları,3
etmediği,3
kurumlar,3
sağlanır,3
yaşayanların,3
halkından,3
alışılmış,3
etmedikçe,3
makamdan,3
ister,3
kalacak,3
hısımlar,3
ortakları,3
işlemlerde,3
erdirme,3
getirilebilir,3
işletmesi,3
bildirmeye,3
azın,3
reh,3
eklentileri,3
yoluna,3
yurda,3
sıraya,3
ves,3
ayet,3
menfaatinin,3
belirtilmiş,3
yaparlarken,3
idari,3
savurganlığı,3
özgürlüğü,3
infazına,3
yerindeki,3
değiştiremez,3
rızaları,3
valilik,3
vasiliği,3
atanma,3
va,3
kısıtlanmasına,3
görevin,3
danışmanlık,3
kayyımlığı,3
imse,3
yoldan,3
ehliyetinin,3
işlerde,3
parayı,3
kefil,3
çıkarılır,3
iği,3
ver,3
itibaren,3
kararların,3
ili,3
vakit,3
defterin,3
satılır,3
taşınırız,3
niteliğini,3
satışa,3
ailesi,3
zorunluluğu,3
paralar,3
dönüştürülmesi,3
tamam,3
gününden,3
zamanında,3
ücret,3
görevlendirilmiş,3
yetkiye,3
verecek,3
hâllerde,3
sigortası,3
dairelerinde,3
ettirilemeyen,3
kendiliğind,3
sse,3
anmış,3
işin,3
atanmasını,3
görevinin,3
dolması,3
görevinden,3
alınma,3
surette,3
davranışlarda,3
onaylanması,3
yıldır,3
mirasçıdırlar,3
halefiyet,3
yerlerini,3
üçü,3
aşçı,3
zorlama,3
it,3
kimselerin,3
sigortacıya,3
devretmesi,3
açamaz,3
maz,3
belirtilmemişse,3
almasını,3
kazandırmayı,3
atadığı,3
reddetmesi,3
onmirasçıya,3
ağlıdır,3
göstermez,3
mirasbırak,3
reddederse,3
bölümünü,3
mirasını,3
bağdaşmayan,3
şekilleri,3
memurun,3
vasiyetnameye,3
içerdiğini,3
tanığa,3
önlerinde,3
yapıldığını,3
gördüklerini,3
imzalarlar,3
tanıklara,3
okur,3
onlara,3
mirasbırakanı,3
ederek,3
yöneticisi,3
dönebilir,3
başladığı,3
tahsil,3
plan,3
taahhüt,3
ip,3
tasarruflarda,3
paylarına,3
kazandırmanın,3
oranda,3
etmemesi,3
karşılayan,3
borcunun,3
sözleşmesinden,3
kısmını,3
olanın,3
ileride,3
edilmeden,3
geçecek,3
tesliminden,3
sıfatlarını,3
teslimini,3
kurallara,3
yönetilmesine,3
mühürleme,3
güvenilir,3
örneği,3
bildirildiği,3
tutulacağı,3
alacaklılarına,3
verilmediği,3
etkili,3
kefalet,3
kanın,3
mah,3
ifade,3
olsalar,3
yazılan,3
takip,3
süremez,3
giderlerinin,3
yapılacağı,3
kura,3
anlaşamazlarsa,3
muacceliyet,3
ödeyen,3
adetlere,3
birleştirme,3
mülkiyette,3
tamamına,3
rehnedilebilir,3
oybirlikiyle,3
istemek,3
eşyayı,3
toprağın,3
dışarıdan,3
maldan,3
yararlanabilir,3
paydaşlıktan,3
ettirme,3
gerçekleştirilir,3
satışın,3
sayfaya,3
suların,3
parçaları,3
heyelan,3
kütüğünün,3
aralıksız,3
zilyetliğinde,3
parçasının,3
malikten,3
tescilini,3
mülkiyetini,3
kapsam,3
birbirini,3
malzemesini,3
malzemenin,3
sökülüp,3
taşkın,3
araziye,3
binanın,3
yapılara,3
ormanlar,3
âdete,3
kullanılamaz,3
kullanmaktan,3
akan,3
zararına,3
suları,3
arazisinde,3
değişirse,3
geçidi,3
biçimine,3
şeyleri,3
oğlu,3
ödeninceye,3
maliklerin,3
yararlanmaları,3
korunduğu,3
kaybedilmiş,3
kuvvetlerine,3
muhtara,3
hizmeti,3
ödül,3
define,3
işleyen,3
kaybedilmesi,3
malikini,3
tescilinde,3
parselin,3
kararlaştırılan,3
getirirse,3
tüketilebilen,3
muhafazası,3
kaydedilebilir,3
tarihteki,3
rehninin,3
türleri,3
derecenin,3
sıralarını,3
bedelleri,3
yüklerden,3
kuruluşunun,3
ipotekle,3
dayanağı,3
senedini,3
senedinden,3
ibraz,3
tahviller,3
ödüncün,3
seri,3
senetlerde,3
sırasına,3
işlemlerin,3
makbuzun,3
devreden,3
kaçınabilir,3
elinden,3
yevmiye,3
değiştiren,3
değişen,3
maddeleri,3
verirken,2
yargı,2
davranma,2
iyiniyetin,2
tanıdığı,2
gereklerini,2
nitelikli,2
belgelerle,2
kanıt,2
düzeninin,2
borçlara,2
fiilleriyle,2
erginlik,2
yeteneğinden,2
kullanmada,2
fiillerinden,2
hışımlık,2
tanım,2
bıraktığı,2
halen,2
kurumuna,2
sonucunu,2
vazgeçme,2
vazgeçemez,2
sınırlayamaz,2
aş,2
saldırıda,2
kamusal,2
yetkinin,2
kılınmadıkça,2
halk,2
önlenmesini,2
etkileri,2
saldırının,2
düzeltmenin,2
kazancın,2
görme,2
bırakan,2
adının,2
çekişmeli,2
kullanılan,2
kurumunun,2
ölümle,2
doğmak,2
ölümün,2
kişiden,2
hepsi,2
sicilinde,2
ölümüne,2
gözle,2
bakılmayı,2
kaybolursa,2
kuvvetli,2
kimseleri,2
ilanın,2
aydır,2
alınamazsa,2
cumhurbaşkanlığının,2
onayı,2
memurluğu,2
dışişleri,2
başbakanlığın,2
tutulmasından,2
başvuruda,2
değişikliğine,2
bildirme,2
bildirimler,2
kimliği,2
vermesi,2
cümlesinde,2
olduğunun,2
bildirmesi,2
yine,2
kaydolunur,2
kime,2
kaydının,2
kazanamaz,2
kısıl,2
cins,2
hısımlık,2
organlara,2
açıklanır,2
yönetildiği,2
tasfiyesine,2
güden,2
güttüğü,2
ticaret,2
çalışmalarını,2
kişiliğe,2
topluluklarıdır,2
gösterilmesi,2
ludur,2
düzenlenmemiş,2
bildirimini,2
bildiriminin,2
ibaret,2
amir,2
altmış,2
dosya,2
incelenir,2
bildiriminde,2
durumlarında,2
giderilmesi,2
mahkemeden,2
bulunmaz,2
ik,2
toplantısı,2
etmeye,2
zorlanamaz,2
derneklere,2
çıkma,2
gösterilebilir,2
çıkarılabilir,2
ilkesi,2
dil,2
ırk,2
eklenmiş,2
üyenin,2
kullanmak,2
nir,2
amacının,2
karşılanması,2
düzenine,2
gerçekleşmesini,2
za,2
toplanır,2
yılda,2
beşte,2
üyeyi,2
çağırmakla,2
görevlendirir,2
gelmeden,2
katılımıyla,2
günü,2
ertelenmesine,2
yeter,2
te,2
salt,2
çoğunluğun,2
sağlanamaması,2
ertelenmesi,2
çoğunluk,2
bırakılamaz,2
başkan,2
yeteri,2
maddesinde,2
ibareleri,2
hükmüne,2
istisna,2
stsoyu,2
kullanacak,2
içi,2
yolları,2
kararlarının,2
butlanla,2
asil,2
sayıda,2
uy,2
say,2
yürütme,2
usullere,2
yapılmamış,2
düşmüş,2
yapılamaması,2
tüzüklerinde,2
çalışma,2
yasaklanan,2
ni,2
faaliyet,2
işbirliğinde,2
kuruluşlara,2
katılabilirler,2
ırler,2
kurabilirler,2
federasyonlar,2
gelmeleri,2
federasyonun,2
konfederasyon,2
konfederasyonun,2
kurulunda,2
şalvarlığından,2
niteliklerine,2
temel,2
senetle,2
nezdinde,2
bulunmasına,2
temyiz,2
mahkemenin,2
müdürlüğü,2
merkezi,2
başvurunun,2
kuruluştan,2
khk,2
yöneticileri,2
yararlananlara,2
seçerler,2
olmalarına,2
hükümlerin,2
yönet,2
alındıktan,2
getirmedikleri,2
kur,2
denetlenir,2
değiştirebilir,2
alanı,2
seçebilir,2
arzusuna,2
değişikliğe,2
araçlarla,2
alıkoyabilir,2
başvurur,2
silinir,2
nişanlanma,2
kısıtlıyı,2
nisanlılığın,2
nişanın,2
nişan,2
çerçevesinde,2
ererse,2
alışılmışın,2
ermenin,2
evlenmesine,2
bulundukça,2
feshini,2
geçmedikçe,2
biter,2
evliliğinden,2
süreyi,2
evlenmelerinde,2
urlar,2
belediye,2
köylerde,2
adını,2
imzası,2
belgesini,2
hastalığının,2
bulunmadığını,2
raporunu,2
incelenmesi,2
görürse,2
ürünün,2
başvurabilir,2
bulunduğuna,2
kaldırılırsa,2
verilmesinden,2
dairesinde,2
törenin,2
maddesi,2
kaldırılmıştır,2
olumlu,2
batıl,2
vlenm,2
ilgisi,2
fakat,2
but,2
evlenmeyi,2
kişiyle,2
yanılarak,2
olmuşsa,2
eşinde,2
eşinin,2
namus,2
yakınlarından,2
hayatı,2
öğrenildiği,2
etkisinin,2
başla,2
yarak,2
uymama,2
butlanını,2
uyulmaması,2
davayı,2
sürdürebilirler,2
kaybeder,2
affeden,2
hay,2
onur,2
kırıcı,2
davranış,2
davranışta,2
sürme,2
sürer,2
ötürü,2
diğerini,2
dönmediği,2
sürmüş,2
sı,2
dönmesini,2
es,2
sonuçlar,2
fıkralarında,2
temelinden,2
yukarıda,2
niteliğinde,2
kanaat,2
boşanmanın,2
bulması,2
hükmolunur,2
reddine,2
açmaya,2
davadan,2
aydan,2
oturdukları,2
açılınca,2
barınmasına,2
geçimine,2
ilişkinse,2
hayatın,2
olaylar,2
kazandığı,2
bekarlık,2
kocasının,2
kocaya,2
yoksulluk,2
geçimi,2
süresiz,2
tazminatın,2
kaldırılır,2
yıllar,2
boşanmadan,2
tasfiyesinde,2
ayrılığın,2
şler,2
olamazlar,2
tasarruflarla,2
ilişkilerini,2
düzenlemesinin,2
verilmeyen,2
düzenlenmesinde,2
yararları,2
katılmak,2
ünlü,2
dayandığı,2
taraflara,2
sonuçlarına,2
erebilir,2
elbirliğiyle,2
yönetirler,2
kılınmışsa,2
işini,2
duyuru,2
değiştiğinde,2
değiştirilebilir,2
seçiminde,2
iznini,2
mesinde,2
huzur,2
kişilerle,2
sözleşmesini,2
sağlayamayan,2
müdahalesini,2
müdürlüğünden,2
unun,2
birin,2
parasal,2
çalışması,2
katkı,2
huzuru,2
ört,2
borçlulara,2
getirmezse,2
ödemeyi,2
varlığının,2
yükümlülüğün,2
istedikleri,2
değiştirebilirler,2
borca,2
ortaklıktaki,2
rejimine,2
takibinde,2
rejimin,2
sorumluluktan,2
emesi,2
envanter,2
olum,2
önlemez,2
güçlüklere,2
sokacaksa,2
tutar,2
şunlardır,2
tazminatlar,2
maldır,2
mesleğin,2
gelirlerinin,2
kararlaştırabilirler,2
hangisine,2
maldaki,2
malvarlıkıyla,2
kabulüyle,2
eşte,2
yapabilirler,2
artışı,2
sırasındaki,2
artışından,2
hesaplanması,2
ayrılması,2
kurumlarınca,2
kurumunca,2
uygulanan,2
boyunca,2
döneme,2
sermayeye,2
çevrilmiş,2
tasfiyede,2
eklenecek,2
uyuşmazlıklarda,2
kesimini,2
sokar,2
kesime,2
azalması,2
miktarlar,2
çıkarıldıktan,2
alınmaz,2
işletmeye,2
tanır,2
yatırım,2
kast,2
zedeleyemez,2
işletmelerin,2
bütünlüğü,2
ala,2
güçlükler,2
doğuracaksa,2
ertelenmesini,2
tasfiyenin,2
yetmez,2
eklenmek,2
ma,2
karşılamadığı,2
zedelendiğini,2
ermesinin,2
erdiğinde,2
yanında,2
kullanım,2
yararlanmasına,2
yatırımlar,2
paylaşılır,2
kazandırmadan,2
denkleştirilir,2
ödemelerin,2
tak,2
hangisinin,2
hakkaniyet,2
durumlarını,2
bitiminde,2
ermeden,2
geçirilmesini,2
kiracı,2
esin,2
kalmasına,2
yetmezse,2
tanınmasına,2
kapsasana,2
ortaklığında,2
değerlerini,2
öngörülmedikçe,2
ispatlanmadıkça,2
sokabilir,2
temsiline,2
rızasının,2
malıyla,2
sanatın,2
doğuran,2
olacağı,2
anlaşarak,2
kaynaklanan,2
dır,2
olmasını,2
iflasın,2
istemiş,2
yararının,2
hükmüyle,2
soy,2
bağına,2
göstermezse,2
ederken,2
düşmüşse,2
gerekmez,2
döneminde,2
geçerliliğini,2
kaldığı,2
evlilikteki,2
kaybetmesi,2
ölümünü,2
başlayan,2
memuruna,2
veli,2
bağ,2
anaya,2
geçtiği,2
gecikmeyi,2
kalkmasından,2
belirlenmesini,2
açılmışsa,2
doğumundan,2
olmasının,2
ilişkinin,2
eğitilmiş,2
zedelenmemesi,2
edinemezler,2
inden,2
aşkın,2
yaşamakta,2
edinilenin,2
inen,2
gerektirir,2
geçirilir,2
adları,2
edinenler,2
belirlenmemiş,2
hafta,2
geçirilme,2
kesindir,2
aranmaması,2
l,2
aranıp,2
erginlerin,2
engeli,2
bakılıp,2
anc,2
isterse,2
önleme,2
getirilmiş,2
kin,2
görüşünün,2
değerlendirilir,2
esasa,2
kalkmış,2
yola,2
işlemlerinde,2
kullanırlar,2
fıkrasında,2
husus,2
dair,2
sınırlamalar,2
giderlerini,2
karşılama,2
yetecek,2
sarfedebilirler,2
kendilerini,2
bakan,2
aka,2
değişme,2
yük,2
edilebilirse,2
altındadır,2
üvey,2
çocuklarına,2
ilgi,2
ölüdür,2
sini,2
öz,2
korurlar,2
engelli,2
velayetleri,2
erinin,2
iznine,2
işlemle,2
tina,2
gelişmesi,2
çare,2
korunma,2
yerleştirilmesi,2
kalması,2
deneyimsizliği,2
ilgiyi,2
banın,2
yedinci,2
müdahale,2
kendisinde,2
hâkime,2
arlığının,2
kusurları,2
kaldırılmadıkça,2
sarfı,2
yetiştirilmesi,2
karşılamak,2
ge,2
tiren,2
bırakmışsa,2
vermesini,2
uğraşması,2
talimat,2
abi,2
kuşku,2
kardeşlerine,2
ibarettir,2
istenmesi,2
topluluğun,2
çıraklık,2
halkı,2
düz,2
adil,2
dikkat,2
bulundurduğunu,2
başkalarını,2
emeklerini,2
özgüleyen,2
Alpsoy,2
iflası,2
uğramaz,2
terekesinin,2
anına,2
arında,2
yönetilir,2
yöneticinin,2
rler,2
kaydedilmiş,2
sürülemez,2
anlaşması,2
bildirilmesiyle,2
uzatılmadığı,2
fesih,2
satışı,2
paylaşılması,2
elli,2
arının,2
harcama,2
dayanılarak,2
kurallarını,2
konutlar,2
tarıma,2
eklentileriyle,2
mahkem,2
ece,2
itirazlarını,2
kış,2
taşınmazda,2
hacizler,2
kurmak,2
taşın,2
getirilen,2
yurduna,2
etmesine,2
yapılmaz,2
makamından,2
sürdürülmesi,2
istisnai,2
meclisine,2
makamınca,2
dört,2
malvarlık,2
öğren,2
noterler,2
başkalarının,2
güvenliğini,2
kısıtlanır,2
alınmayı,2
öğrenen,2
savurganlık,2
yönetmesi,2
tehdit,2
infazı,2
infaz,2
kurumunda,2
kişiliğinin,2
makam,2
kümleri,2
raporunun,2
kesinleşince,2
etkilemez,2
sakatlığı,2
dairelerine,2
anması,2
yapabilecek,2
koşullarına,2
ilişkiler,2
millet,2
yardımcıları,2
hizmetinden,2
yasaklılar,2
sürenler,2
bırakılır,2
atamanın,2
rinde,2
halleri,2
ivedi,2
birk,2
bulunmamakla,2
kılarsa,2
sağlanamamışsa,2
danışman,2
kambiyo,2
taahhüdü,2
dilediği,2
kaldırılabilir,2
anır,2
arzeden,2
bulaşıcı,2
ıslahı,2
derler,2
yerleştirme,2
çıkarmaya,2
vesayete,2
düğü,2
yakınları,2
bildirilmesinden,2
ilen,2
hekim,2
ilgiliye,2
kapsamında,2
tahkikatı,2
sahipse,2
doğurduğu,2
saklanması,2
benzerleri,2
gözetimi,2
güvenli,2
konulur,2
iii,2
taşınışların,2
azlığını,2
pazarlıkla,2
taşıyan,2
satılamaz,2
paraların,2
yatırılması,2
yatırılır,2
yatırılmasını,2
yatırımların,2
yatırımlara,2
işletmeler,2
talimatı,2
ihale,2
onamasıyla,2
küçüklerde,2
yetkiyle,2
kısıtlılarda,2
görüşlerini,2
oluşturma,2
açıklama,2
işl,2
haktan,2
üzer,2
Versay,2
yönetilmesi,2
tarihlerde,2
tasarrufuna,2
kullanır,2
uzatabilir,2
ücreti,2
karşılanmak,2
kayyımlığın,2
yapabilmesi,2
şikayet,2
eylem,2
işlemlerine,2
şikayette,2
sınırlarını,2
ürün,2
konkordato,2
masa,2
una,2
taş,2
bakma,2
hesapları,2
düzeltilmesini,2
sebebiyet,2
zar,2
halinin,2
Eşay,2
işinin,2
ermesine,2
ilgililerden,2
gıldır,2
kısıtlanmış,2
meydan,2
adan,2
kalkmasına,2
alınmasıyla,2
çıktığı,2
hal,2
yetkilerini,2
işten,2
haciz,2
koyabilir,2
yönetimle,2
tiyle,2
sebebine,2
ri,2
babaların,2
babalardan,2
nde,2
olmazlar,2
yapabilmek,2
altın,2
test,2
kısmında,2
tamamında,2
sal,2
yapılırken,2
bakılan,2
kaz,2
hesabında,2
ödenmek,2
lehdar,2
çıkarabilir,2
kana,2
hukukundan,2
getirmemişse,2
getiri,2
yapmışsa,2
özgülemesi,2
belgesinin,2
belgenin,2
yarısını,2
işbırakanın,2
mirasının,2
içeren,2
olabileceği,2
edimin,2
görenin,2
yükümlüsüne,2
reddetmiş,2
bırakmada,2
tasarrufuyla,2
artmirasçıya,2
önmirasçının,2
önmirasçı,2
uyulmak,2
eşme,2
sağlanarak,2
edenin,2
olamaması,2
yapılmamışsa,2
zenginleşmeleri,2
tutarında,2
üzeri,2
imzalar,2
imza,2
yazarak,2
yazdırarak,2
altını,2
ettiğini,2
sonuna,2
ka,2
arzuları,2
görevlendirilen,2
hakime,2
ederler,2
ülke,2
şekillerden,2
vasiyetnameden,2
tamamından,2
kusuruyla,2
belirlenmesine,2
taraflı,2
tarihindeki,2
vasiyetnameyle,2
ehliyet,2
niteliğinden,2
tasarrufundan,2
diğerleri,2
hareket,2
vasiyetleri,2
hazırlar,2
açtığı,2
takipleri,2
vermesine,2
tali,2
şekillere,2
vasiyetnamelerde,2
davalılara,2
tasarruflarının,2
hâlinde,2
azalma,2
kaybeden,2
adıyla,2
bağışlamalar,2
borcuna,2
iddiası,2
düzenlenmesini,2
devredilmiş,2
topluluğa,2
edinmiş,2
gerçekleştirilmesine,2
olamayacakları,2
yapmasını,2
etkiler,2
olabilmek,2
rse,2
kaybolma,2
olduklarını,2
ortada,2
teslimine,2
kalmadan,2
hazinenin,2
geçerse,2
çıkmazsa,2
alanlar,2
geçmesinin,2
geçmesini,2
bulunulursa,2
tutanakla,2
bölümleri,2
hiçbiri,2
bulunup,2
sahiplerinin,2
kaybına,2
bulunmaya,2
muhafaza,2
geçiren,2
bilinen,2
diledikleri,2
değiştirilme,2
ünü,2
geçersizliği,2
anlaşılmıyorsa,2
aralıklarla,2
vasiyetin,2
zenginleşmesi,2
tutulabilir,2
kendilerinin,2
ermez,2
olmayanlara,2
kendisin,2
kütüğün,2
sürelerinin,2
yetmeyen,2
suretle,2
sorumluluğun,2
bildirmeleri,2
çekilir,2
defte,2
göstermesini,2
işlemez,2
beyana,2
biçilmesi,2
istediğini,2
güvenceden,2
tasfiyesini,2
atayacağı,2
düzenlenmesiyle,2
yürütür,2
pazarlık,2
zilyetliğe,2
ortaklığına,2
korumadan,2
miktardaki,2
düşmemesi,2
paylaşmayı,2
paylaşılmasını,2
paylaştırılmasına,2
sağlanmasını,2
devamını,2
bağlayıcıdır,2
arzu,2
olmayıp,2
bilgileri,2
oluşturulması,2
adetleri,2
bölünemeyen,2
bölüştürülür,2
artırmanın,2
bütünlük,2
birbirinden,2
ayrılamaz,2
özgülenmesine,2
üstlenmiş,2
senediyle,2
fazlalık,2
vermez,2
sözleşmeler,2
garanti,2
tamamlanmasından,2
adi,2
miktardan,2
fazlasını,2
yapısı,2
ayrılmasına,2
şeyden,2
işletilmesi,2
kullanılmasında,2
kullanması,2
kaldırılamaz,2
hesabına,2
kararla,2
işlemlerinin,2
kullanılmasının,2
sağlayabilir,2
mülkiyetten,2
tutum,2
davranışlarıyla,2
kısmına,2
parçanın,2
istemlerini,2
getirilir,2
bölüşülmesi,2
bölünen,2
deki,2
rızasına,2
tescille,2
toprak,2
bitişik,2
taşınmazdan,2
makamlarca,2
bölgesi,2
yörelerde,2
sınırın,2
internet,2
sitesinde,2
araç,2
kazanılmış,2
hesaplanmasında,2
kesilmesinde,2
durmasında,2
bitkiler,2
sınırların,2
işaretleri,2
konulmasına,2
duvar,2
parmaklık,2
çit,2
komşunun,2
araz,2
alınmazsa,2
yaptıran,2
taşırılan,2
başlı,2
üzerin,2
gaz,2
elektrik,2
mecranın,2
fidanını,2
tehlikenin,2
kaçınılmaz,2
taşkınlıklardan,2
bedelle,2
satıştan,2
satıcı,2
alıcıya,2
kaçınmak,2
uyulması,2
dal,2
yetişen,2
maliklerinin,2
bitki,2
araziden,2
